result,home_elo,away_elo,home_recent_goals_scored_home,home_recent_goals_scored_away,home_recent_goals_conceded_home,home_recent_goals_conceded_away,home_recent_home_games_won,home_recent_home_games_lost,home_recent_away_games_won,home_recent_away_games_lost,away_recent_goals_scored_home,away_recent_goals_scored_away,away_recent_goals_conceded_home,away_recent_goals_conceded_away,away_recent_home_games_won,away_recent_home_games_lost,away_recent_away_games_won,away_recent_away_games_lost
A,1789.80358887,1675.80932617,10,7,4,9,3,2,1,4,6,3,3,8,3,2,0,5
H,1690.70263672,1704.08081055,8,7,4,8,3,2,1,4,4,4,5,4,2,3,1,4
A,1716.29626465,1790.48681641,6,8,1,8,3,2,2,3,9,7,2,7,5,1,1,3
A,1689.24023438,1891.2388916,12,6,8,7,3,2,1,4,11,10,5,5,4,1,2,3
H,1576.14416504,1817.04431152,3,4,10,9,0,5,1,4,5,6,5,4,0,5,2,3
A,1563.64672852,1614.52148438,5,3,9,7,0,5,1,4,6,5,8,13,1,4,0,5
D,1706.86486816,1650.91345215,11,6,8,6,2,3,2,3,6,3,3,9,3,2,0,5
H,1697.45568848,1689.42663574,6,4,3,7,3,2,1,4,13,4,13,5,3,3,1,3
D,1681.01342773,1706.5814209,8,4,9,7,1,3,1,5,8,7,4,8,3,2,1,4
H,1816.78198242,1786.42944336,9,9,2,6,5,1,2,2,11,6,6,8,3,3,1,3
H,1706.47424316,1564.2689209,3,5,4,6,2,2,1,5,6,2,11,5,0,6,1,3
H,1632.17163086,1712.59191895,6,7,8,11,1,4,1,4,11,6,8,6,2,3,2,3
A,1690.95544434,1597.81445312,6,8,1,13,3,1,1,5,5,3,11,9,1,5,0,4
H,1916.06726074,1712.05456543,7,8,3,6,3,1,3,3,6,5,4,8,3,3,1,3
H,1679.81591797,1822.31396484,8,4,9,7,1,3,1,5,9,9,3,6,5,1,2,2
H,1818.69995117,1611.46655273,5,6,5,4,0,5,2,3,10,2,8,5,2,3,0,5
A,1671.29187012,1908.45727539,6,8,3,11,3,2,1,4,9,8,4,5,4,1,3,2
H,1701.17785645,1903.44726562,6,4,3,7,3,2,1,4,11,14,5,5,4,1,3,2
D,1705.48730469,1641.48120117,8,8,4,9,3,2,1,4,7,7,7,11,2,3,1,4
D,1665.64416504,1707.64550781,7,4,2,8,4,1,0,5,4,4,4,5,3,2,1,4
A,1707.26208496,1687.55114746,5,6,3,10,3,2,1,4,9,4,9,5,2,3,1,4
H,1681.12109375,1612.89465332,11,4,10,6,3,2,1,4,4,5,10,9,1,4,1,4
A,1698.69897461,1823.16149902,11,3,8,6,2,3,1,4,7,6,5,4,1,4,2,3
A,1558.51416016,1778.60583496,4,2,9,6,0,5,1,4,9,7,6,10,2,3,1,4
H,1591.23449707,1535.52197266,3,5,9,10,1,3,1,5,3,2,9,6,0,5,1,4
H,1767.83666992,1669.01989746,9,9,6,10,2,2,2,4,9,4,9,6,3,2,1,4
H,1886.42236328,1648.08044434,9,8,4,2,4,1,4,1,9,3,4,7,4,2,0,4
H,1792.83105469,1700.54992676,7,8,2,3,4,1,3,2,8,3,3,6,4,2,1,3
D,1691.44787598,1650.50585938,4,6,4,7,3,2,1,4,6,7,4,8,3,3,1,3
H,1864.89880371,1685.03588867,11,12,5,6,4,1,2,3,8,7,4,8,3,3,1,3
H,1790.8079834,1680.04602051,6,9,4,6,1,3,3,3,7,4,6,9,3,3,0,4
H,1601.16088867,1675.29614258,6,4,5,7,1,3,1,5,11,3,9,6,2,3,1,4
D,1653.42590332,1867.65307617,5,9,4,10,2,3,1,4,12,12,5,6,5,0,2,3
H,1609.21875,1659.79138184,7,4,5,5,2,3,1,4,9,3,9,11,3,2,0,5
H,1890.06616211,1796.4050293,10,8,4,2,4,1,4,1,9,8,5,5,2,3,3,2
H,1679.43981934,1530.17211914,7,7,9,6,1,4,2,3,3,2,9,6,0,5,1,4
D,1688.52783203,1634.48376465,4,6,5,7,2,3,1,4,8,5,6,9,3,2,1,4
H,1667.23840332,1596.58435059,11,2,9,5,2,3,1,4,4,5,9,8,2,3,1,4
H,1682.28161621,1801.5723877,8,8,4,10,3,2,1,4,11,8,3,3,4,1,3,2
A,1644.43664551,1691.80847168,9,3,3,10,4,1,0,5,6,4,1,11,4,1,1,4
H,1778.46606445,1617.41113281,14,9,6,6,3,2,3,2,9,4,5,5,3,2,1,4
D,1694.84777832,1669.6763916,3,11,6,13,1,3,1,5,13,2,10,4,3,3,1,3
H,1785.36181641,1624.89013672,9,8,5,8,2,3,3,2,9,3,7,10,4,2,0,4
D,1646.87548828,1682.9005127,9,1,9,11,3,2,0,5,10,7,9,5,2,4,2,2
A,1789.91894531,1889.31872559,11,7,3,3,4,1,3,2,12,8,3,2,4,1,4,1
A,1521.98791504,1689.21154785,2,2,6,9,0,4,1,5,8,8,3,10,4,1,1,4
D,1635.45544434,1655.0802002,6,6,4,10,3,1,1,5,4,9,5,10,1,4,1,4
D,1861.27526855,1903.2869873,9,13,3,7,4,0,2,4,12,11,3,3,4,1,4,1
A,1672.22216797,1646.0357666,9,4,7,6,2,3,1,4,7,1,8,11,2,3,0,5
H,1656.38635254,1781.50341797,4,10,5,11,1,4,1,4,11,9,5,6,3,2,3,2
H,1614.37365723,1634.14916992,9,3,5,5,3,2,1,4,8,5,6,7,3,2,1,4
A,1694.70910645,1789.8470459,8,7,3,7,4,1,2,3,10,8,4,8,3,2,3,2
H,1620.4050293,1775.95056152,8,3,7,12,3,2,0,5,11,7,9,3,3,2,3,2
H,1903.87487793,1712.07226562,10,13,2,5,3,1,4,2,6,8,1,11,4,1,2,3
A,1683.74023438,1860.68737793,8,7,7,5,2,3,2,3,11,9,5,7,4,1,1,4
H,1682.8326416,1692.30187988,4,6,6,7,1,4,1,4,5,10,8,11,1,4,1,4
H,1612.98352051,1689.61547852,6,7,5,7,3,2,2,3,7,4,8,5,2,4,1,3
D,1708.31726074,1621.28076172,5,9,0,14,4,0,2,4,10,3,5,4,4,2,1,3
H,1771.90515137,1687.50769043,11,9,5,6,3,2,3,2,7,7,4,7,3,2,2,3
D,1765.62475586,1665.98461914,10,8,9,5,2,2,3,3,6,10,5,11,2,3,1,4
A,1526.3190918,1658.16247559,3,4,7,10,0,4,2,4,9,3,9,6,2,4,0,4
H,1627.2421875,1676.53393555,8,3,6,4,3,2,1,4,8,7,9,4,2,4,2,2
H,1685.51916504,1630.73071289,5,12,8,14,1,3,1,5,10,2,8,8,4,2,0,4
H,1620.81604004,1668.27929688,9,5,7,3,4,2,2,2,6,7,4,5,2,3,2,3
